tempParkAssetID,FeatureCategory,IncludesHandRail,RampAreaM2,RampLengthM
88790,Hard Surface - Ramp,NULL,NULL,NULL
88802,Hard Surface - Ramp,NULL,NULL,NULL
90031,Hard Surface - Ramp,NULL,NULL,NULL
91128,Hard Surface - Ramp,NULL,NULL,NULL
92891,Hard Surface - Ramp,NULL,NULL,NULL
92895,Hard Surface - Ramp,NULL,NULL,NULL
92896,Hard Surface - Ramp,NULL,NULL,NULL
93972,Hard Surface - Ramp,NULL,NULL,NULL
93975,Hard Surface - Ramp,NULL,NULL,NULL
115338,Hard Surface - Ramp,NULL,NULL,NULL
