Christchurch is Creative,Christchurch is Exciting,Christchurch is Revived,Christchurch is Energised,"Features that contribute the most to making christchurch a disticnt, unique and accessible city","Features that contribute the most to making Central Christchurch a disticnt, unique and accessible city",Reasons why you enjoy living in your neighbourhood,How much do you agree that the central city is somewhere that you and members of your community feel that you belong? (Comments)
Agree,Agree,Agree,Neither agree nor disagree,,,,"Belong where? we hardly have a central city, & I do not like the city at the moment"
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,"Parking is a huge issue in the central city, AS IS THE SEWAGE SMELL"
Agree,Agree,Agree,Agree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Agree,,,,But it needs be more about the wider community  - going back to the 2011 'share an idea' discussion - many great ideas that can still be incorporated but my perception it's firstly about what's best for business.
Agree,Agree,Neither agree nor disagree,Disagree,,,,
Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,,,,If you have $'s it's probably ok
Agree,Agree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Agree,Disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,
Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,We're not really part of Christchurch out here so it's difficult to say how we feel
Agree,Neither agree nor disagree,Disagree,Disagree,,,Accessible for disabled,
Agree,Neither agree nor disagree,Agree,Agree,,,,
,,,,,,,
,,,,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Agree,Agree,Agree,,,,
,,,,,,,
Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,Have hardly been there since February 2011
Disagree,Strongly Disagree,Strongly Disagree,Disagree,skifields,New entertainment precinct when built,Few poor people,
Agree,Disagree,Disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Agree,Agree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,The redevelopment in the CBD is exicting
Agree,Neither agree nor disagree,Disagree,Disagree,,,,Use to but not now
Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,No connection to the central city. Lack of housing. Low building density at current moment. 
,,,,,,central location,
Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Agree,Disagree,Strongly Disagree,Disagree,At the moment it's unique and distinctive because it's a shattered mess.,,,I might agree if there was much there to belong to.  It's still pretty weird.
Neither agree nor disagree,Agree,Agree,Agree,,,,
Disagree,Disagree,Strongly Disagree,Strongly Disagree,,,,
Agree,Disagree,Agree,Disagree,,,,"I feel like I belong in the city, however most of my friends would not and would never go there apart from going to bars. Some have lived in CHCH for 20+ years and do not know there way around the CBD at all because they have nothing to do with it. "
Agree,Neither agree nor disagree,Disagree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Margaret Mahy Park,,
Agree,Agree,Agree,Agree,,,,
Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Agree,Agree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,,I can ride my bicycle to just about everywhere I need to go.,
Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,,,,
Disagree,Disagree,Disagree,Disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Agree,,,,
