DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
12,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/47,15/409200,Cathedral of the Blessed Sacrament and Setting,47,46,Cathedral of the Blessed Sacrament and Setting and Cathedral of the Blessed Sacrament and former Sacred Heart Convent ,301,NULL
16,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1939,15/409200,Former Dwelling and Setting,1939,55,Former Dwelling and Setting and The Manor,211,NULL
17,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3695,15/409200,Dwelling and Setting,3695,60,Dwelling and Setting and Setting,204,NULL
18,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3811,15/409200,"Dwelling and Setting, Spring Grove",3811,62,"Dwelling and Setting, Spring Grove and Spring bank",265,Belfast
19,Current,Significant,Not Listed,Unknown,NULL,15/409200,King Edward VII Coronation Memorial Lamp and Drinking Fountain and Setting,NULL,68,King Edward VII Coronation Memorial Lamp and Drinking Fountain and Setting and King Edward Fountain,250,Sydenham
20,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1846,15/409200,"Dwelling and Setting, Chippenham Lodge",1846,70,"Dwelling and Setting, Chippenham Lodge and Chippenham Lodge",111,St Albans
21,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"St John's Methodist Church, Lychgate and Setting",NULL,71,"St John's Methodist Church, Lychgate and Setting and St John's Church",648,Fendalton
22,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1825,15/409200,Antigua Boatsheds and Setting,1825,72,Antigua Boatsheds and Setting and Avon River Corridor,146,NULL
28,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1862,15/409200,Cuningham House and Setting,1862,83,Cuningham House and Setting and Cunningham House,95,NULL
29,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Moorhouse Statue and Setting,NULL,84,Moorhouse Statue and Setting and Curator's House,127,NULL
30,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3094,15/409200,Former Beaths Department Store (components),3094,90,Former Beaths Department Store (components),687,NULL
31,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Fa‡ade and Setting, Former New Zealand Farmers? Co-operative Association of Canterbury Ltd ",NULL,95,"Fa‡ade and Setting, Former New Zealand Farmers? Co-operative Association of Canterbury Ltd  and Former NZ Farmers Co-operation",282,NULL
32,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/5390,15/409200,Former Addington Railway Workshops Water Tower and Setting,5390,96,Former Addington Railway Workshops Water Tower and Setting and Addington Workshops Water Tower,65,Addington
33,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Cathedral Square and Setting,NULL,98,Cathedral Square and Setting and Cathedral Square,238,NULL
34,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3666,15/409200,"Godley Statue, Godley Plot and Setting",3666,105,"Godley Statue, Godley Plot and Setting and Cathedral Square",244,NULL
45,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,125,Dwelling and Setting and 3 Clifton Bay,451,Clifton
46,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Kooringa ",NULL,126,"Dwelling and Setting, Kooringa  and Waitaitama",37,Fendalton
47,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/9325,15/409200,Dwelling and Setting,9325,127,Dwelling and Setting and Setting,35,Ilam
48,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,128,Dwelling and Setting and Setting,36,Ilam
49,Current,Significant,Not Listed,Unknown,NULL,15/409200,Open Air Classroom (west) and Setting,NULL,129,Open Air Classroom (west) and Setting and Open Air Classrooms,39,Fendalton
50,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1902,15/409200,The Malthouse and Setting,1902,130,The Malthouse and Setting and Setting,251,Somerfield
56,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1924,15/409200,St Augustine's Anglican Church and Setting,1924,156,St Augustine's Anglican Church and Setting and St Augustine's Church,223,Cashmere
57,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Cranmer Square and Setting,NULL,157,Cranmer Square and Setting and Cranmer Square,181,NULL
58,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3105,15/409200,Former St Margaret's School Building and Setting,3105,158,Former St Margaret's School Building and Setting and Former St Margaret's School,173,NULL
59,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,159,Dwelling and Setting and Dwelling,202,NULL
60,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Shop/Dwelling and Setting,NULL,160,Former Shop/Dwelling and Setting and Former Shop,203,NULL
61,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3711,15/409200,Dwelling and Setting,3711,162,Dwelling and Setting and Setting,199,St Albans
62,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3710,15/409200,Dwelling and Setting,3710,163,Dwelling and Setting and Sidney Holland's House,205,St Albans
63,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Dwellings and Setting, Dorset Street Flats ",NULL,165,"Dwellings and Setting, Dorset Street Flats  and Dorset Street flats",138,NULL
67,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/45,15/409200,Canterbury Provincial Council Buildings ,45,172,Canterbury Provincial Council Buildings  and Setting,681,NULL
68,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1930,15/409200,Sign of the Kiwi and Setting,1930,176,Sign of the Kiwi and Setting and Sign of the Kiwi,299,Governors Bay
69,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3743,15/409200,"Dwelling and Setting, Whareora",3743,178,"Dwelling and Setting, Whareora and Whareora",210,Cashmere
70,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,179,Dwelling and Setting and Setting,178,Cashmere
71,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Lismore Lodge",NULL,181,"Dwelling and Setting, Lismore Lodge and Lismore Lodge",67,Fendalton
72,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/283,15/409200,"Former Dwelling and Setting, Mona Vale",283,183,"Former Dwelling and Setting, Mona Vale and Setting",669,Fendalton
73,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1799,15/409200,Mona Vale Gatehouse and Setting,1799,184,Mona Vale Gatehouse and Setting and Setting,668,Fendalton
79,Current,Significant,Not Listed,Unknown,NULL,15/409200,Edmonds Factory Garden,NULL,193,Edmonds Factory Garden,698,Linwood
80,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1915,15/409200,Former Dwelling and Setting,1915,194,Former Dwelling and Setting and Portstone,342,Linwood
81,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,196,Commercial Building and Setting and Ferry Road Shop,346,Woolston
82,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1945,15/409200,"Dwelling and Setting, Whalebone Cottage",1945,200,"Dwelling and Setting, Whalebone Cottage and Whalebone Cottage",347,Woolston
83,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED substation and setting,NULL,201,MED substation and setting and MED Substation,343,Woolston
84,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5292,15/409200,Dwelling and Setting,5292,202,Dwelling and Setting and Dwelling,315,Linwood
85,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1867,15/409200,"Dwelling and Setting, Englefield",1867,203,"Dwelling and Setting, Englefield and Englefield",316,Linwood
86,Current,Significant,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7512,15/409200,Former Maturing Cellars and Administration Offices and Setting,7512,204,Former Maturing Cellars and Administration Offices and Setting and Wards Brewery,312,NULL
92,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Hatherley",NULL,215,"Dwelling and Setting, Hatherley and Hatherley",33,Fendalton
93,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3729,15/409200,"Former Dwelling and Setting, Rolleston House",3729,216,"Former Dwelling and Setting, Rolleston House and Rolleston House",142,NULL
94,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3712,15/409200,"Dwelling and Setting, Orari",3712,217,"Dwelling and Setting, Orari and Orari",179,NULL
95,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwellings and Setting, Mildenhall",NULL,218,"Dwellings and Setting, Mildenhall and Apartments",200,NULL
96,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1830,15/409200,Armagh Street Bridge and Setting,1830,219,Armagh Street Bridge and Setting and Avon River Corridor,232,NULL
97,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1936,15/409200,"Theatre Royal Fa‡ade, Dome, Staircase and Setting",1936,222,"Theatre Royal Fa‡ade, Dome, Staircase and Setting and Theatre Royal",257,NULL
98,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Hursthaven",NULL,226,"Dwelling and Setting, Hursthaven and Dwelling",103,Cashmere
102,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1874,15/409200,Former West Christchurch School/Hagley Community College and Setting ,1874,231,Former West Christchurch School/Hagley Community College and Setting  and Hagley High School,102,NULL
103,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3135,15/409200,St Mary's Church and Setting,3135,232,St Mary's Church and Setting and St Mary's Halswell Churchyard,17,Halswell
104,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former Dwelling and Setting, Stevenholme/ Rannerdale House",NULL,234,"Former Dwelling and Setting, Stevenholme/ Rannerdale House and Rannerdale House",24,Upper Riccarton
105,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Strone",NULL,235,"Dwelling and Setting, Strone and Strone",25,Upper Riccarton
106,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7635,15/409200,St Paul's Church and Setting,7635,237,St Paul's Church and Setting and Setting,666,Papanui
107,Current,Significant,Not Listed,Unknown,NULL,15/409200,St James' Church and Setting,NULL,238,St James' Church and Setting and St Jame's Church ,14748,Harewood
108,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Faith's Church and Setting,NULL,239,St Faith's Church and Setting and St Faith's Church,444,New Brighton
114,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,249,Dwelling and Setting and Dwelling,86,Merivale
115,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,250,Dwelling and Setting and Dwelling,84,Merivale
116,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Ashbrook",NULL,253,"Dwelling and Setting, Ashbrook and Setting",79,Fendalton
117,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Students' Union and Setting,NULL,254,Students' Union and Setting and Arts Centre,177,NULL
118,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/307,15/409200,Shands Emporium: Former Commercial Building ,307,256,Shands Emporium: Former Commercial Building ,233,NULL
119,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5328,15/409200,St Luke's Chapel and Setting,5328,268,St Luke's Chapel and Setting and St Luke's Chapel,304,NULL
124,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1864,15/409200,"Commercial Building and Setting, Duncan's Buildings ",1864,274,"Commercial Building and Setting, Duncan's Buildings  and Setting",693,NULL
125,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Commercial Building and Setting, Former C F Cotter and Company",NULL,275,"Commercial Building and Setting, Former C F Cotter and Company and Former Cotter's Building",280,NULL
126,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building Fa‡ade and Setting,NULL,283,Commercial Building Fa‡ade and Setting and Setting,274,NULL
127,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,286,Commercial Building and Setting and Bonnington's,266,NULL
128,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3715,15/409200,Dwelling and Setting,3715,294,Dwelling and Setting and Dwelling,236,St Albans
129,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3808,15/409200,Dwelling and Setting,3808,298,Dwelling and Setting and Dwelling,80,Fendalton
130,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3802,15/409200,"Dwelling and Setting, Greystones",3802,299,"Dwelling and Setting, Greystones and Setting",56,Fendalton
131,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former Dwelling and Setting, Okeover ",NULL,300,"Former Dwelling and Setting, Okeover  and Setting",29,Ilam
136,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Former dwelling and setting, Riccarton",NULL,306,"Former dwelling and setting, Riccarton and Setting",663,Fendalton
137,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3679,15/409200,"Former dwelling and setting, Deans Cottage ",3679,307,"Former dwelling and setting, Deans Cottage  and Setting",662,Fendalton
138,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7223,15/409200,"Former Dwelling and setting, Halswell Quarry Manager's Residence, Garden and Garage",7223,309,"Former Dwelling and setting, Halswell Quarry Manager's Residence, Garden and Garage and Setting",655,Halswell
139,Current,High Significance,Not Listed,Unknown,NULL,15/409200,The Christchurch Town Hall and Setting,NULL,311,The Christchurch Town Hall and Setting and Victoria Square,237,NULL
146,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,324,Dwelling and Setting and Dwelling Kotare Street,42,Fendalton
147,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Latimer Square and Setting,NULL,325,Latimer Square and Setting and Latimer Square,287,NULL
148,Current,Significant,Not Listed,Unknown,NULL,15/409200,Elmwood School War Memorial and Setting,NULL,326,Elmwood School War Memorial and Setting and Elmwood School War Memorial,82,Merivale
149,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3717,15/409200,Dwelling and Setting,3717,327,Dwelling and Setting and Dwelling,73,Merivale
150,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3718,15/409200,Dwelling and Setting,3718,328,Dwelling and Setting and Dwelling,76,Merivale
151,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1899,15/409200,"Commercial Building and Setting, Former Wellington Woollen Mills Manufacturing Company ",1899,333,"Commercial Building and Setting, Former Wellington Woollen Mills Manufacturing Company  and Bells Motor Works/ Fmr Wellington Woollen Mills",268,NULL
152,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Commercial Building and Setting, Former Sargood Son and Ewen ",NULL,334,"Commercial Building and Setting, Former Sargood Son and Ewen  and Fmr Sargood Son and Ewen",264,NULL
153,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7467,15/409200,"Former Addington Gaol, Wall and Setting",7467,338,"Former Addington Gaol, Wall and Setting and Addington Prison",649,Addington
160,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3350,15/409200,"Dwelling and setting, Belfast School        Master's House ",3350,352,"Dwelling and setting, Belfast School        Master's House  and Setting",114,Belfast
161,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3810,15/409200,St David's Church and Setting,3810,353,St David's Church and Setting and St David's Church,215,Belfast
162,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Commercial building and Setting, Scanes Store",NULL,354,"Commercial building and Setting, Scanes Store and Scanes Store",187,Belfast
163,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Peter's Church Graveyard and Setting,NULL,355,St Peter's Church Graveyard and Setting and St Peter's Church,19,Upper Riccarton
164,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former MED Converter Station, Substation and Setting",NULL,372,"Former MED Converter Station, Substation and Setting and MED ",276,NULL
165,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/300,15/409200,"Former Dwelling and Setting, Holly Lea/McLean's Mansion",300,373,"Former Dwelling and Setting, Holly Lea/McLean's Mansion and McLean's Mansion",259,NULL
172,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwellling and Setting,NULL,384,Dwellling and Setting and Dwellling,66,Riccarton
173,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/283,15/409200,Mona Vale Lodge and Setting,283,385,Mona Vale Lodge and Setting and Setting,671,Fendalton
174,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1944,15/409200,"Dwellings and Setting, West Avon Flats ",1944,387,"Dwellings and Setting, West Avon Flats  and West Avon Flats",189,NULL
175,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,389,Dwelling and Setting and Dwelling,183,NULL
176,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,390,Former Dwelling and Setting and Dwelling,184,NULL
177,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3102,15/409200,Dwelling and Setting,3102,391,Dwelling and Setting and Dwelling,190,NULL
178,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3103,15/409200,Dwelling and Setting,3103,392,Dwelling and Setting and Dwelling,193,NULL
179,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,393,Dwelling and Setting and Dwelling,194,NULL
180,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,394,Dwelling and Setting and Dwelling,192,NULL
184,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4393,15/409200,Former Mount Magdala Chapel/ St John of God Chapel and Setting ,4393,402,Former Mount Magdala Chapel/ St John of God Chapel and Setting  and St John of God Chapel and fmr Mt Magdala farm buildings,20,Oaklands
185,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,403,Dwelling and Setting and Dwelling,459,Sumner
186,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4385,15/409200,New Regent Street Shops and Setting,4385,404,New Regent Street Shops and Setting and New Regent Street,262,NULL
187,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3814,15/409200,"Dwelling and Setting, Roxburghe",3814,405,"Dwelling and Setting, Roxburghe and Dwelling",325,Opawa
188,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3720,15/409200,"Dwelling and Setting, Former Calimo ",3720,406,"Dwelling and Setting, Former Calimo  and Dwelling",324,Opawa
194,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3128,15/409200,"Commercial Building and Setting, Former Public Trust Office ",3128,414,"Commercial Building and Setting, Former Public Trust Office  and Public Trust Office",230,NULL
195,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1844,15/409200,Former Municipal Chambers and Setting,1844,415,Former Municipal Chambers and Setting and Avon River Corridor,225,NULL
196,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3123,15/409200,Former Midland Club and Setting,3123,416,Former Midland Club and Setting and Trinity Congregational Church,682,NULL
197,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,420,Commercial Building and Setting and Hallidays,134,St Albans
198,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former Dwelling and Setting, Acland House",NULL,421,"Former Dwelling and Setting, Acland House and Acland House",106,Merivale
199,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,422,Former Dwelling and Setting and Dwelling,113,St Albans
200,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former Dwelling/ School and Setting, Former Rangi Ruru/Roseneath House ",NULL,423,"Former Dwelling/ School and Setting, Former Rangi Ruru/Roseneath House  and Rangi Ruru/Charlotte Jane",112,St Albans
201,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1910,15/409200,"Dwelling and Setting, Orana",1910,425,"Dwelling and Setting, Orana and Orana",105,St Albans
205,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3732,15/409200,"Former Dwelling and Setting, Strowan",3732,434,"Former Dwelling and Setting, Strowan and Strowan",78,Papanui
207,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1914,15/409200,Former Christchurch Teachers College and Setting,1914,440,Former Christchurch Teachers College and Setting and Peterborough Centre,176,NULL
208,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3100,15/409200,Church of the Good Shepherd Vicarage and Setting,3100,443,Church of the Good Shepherd Vicarage and Setting and Church of the Good Shepherd and Vicarage,323,Phillipstown
209,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1900,15/409200,"Dwelling and Setting, Long Cottage",1900,444,"Dwelling and Setting, Long Cottage and Long Cottage",101,Merivale
215,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Riccarton Racecourse Public Grandstand and Setting,NULL,453,Riccarton Racecourse Public Grandstand and Setting and Riccarton Tea House,5,Riccarton Park
216,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1890,15/409200,Dwelling and Setting,1890,454,Dwelling and Setting and Dwelling,180,St Albans
217,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/298,15/409200,Dwelling and Setting,298,455,Dwelling and Setting and Dwelling,188,St Albans
218,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7415,15/409200,Former Papanui Railway Station and Setting,7415,456,Former Papanui Railway Station and Setting and Papanui Railway Station,61,Papanui
219,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3093,15/409200,Bandsmen's Memorial Rotunda and Setting,3093,457,Bandsmen's Memorial Rotunda and Setting and Bandsmens memorial Rotunda,100,NULL
220,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3656,15/409200,Cricket Pavilion and Setting,3656,458,Cricket Pavilion and Setting and Umpires Pavillion,93,NULL
221,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1851,15/409200,Nurses' Memorial Chapel and Setting,1851,460,Nurses' Memorial Chapel and Setting and Nurses' Chapel,108,NULL
229,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/303,15/409200,Robert McDougall Art Gallery and Setting,303,471,Robert McDougall Art Gallery and Setting and Robert McDougall Art Gallery,118,NULL
230,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1946,15/409200,Rolleston Statue and Setting,1946,472,Rolleston Statue and Setting and Canterbury Museum and Rolleston Statue,135,NULL
231,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1863,15/409200,Curator's House and Setting,1863,473,Curator's House and Setting and Curator's House,128,NULL
232,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/290,15/409200,Canterbury Museum and Setting,290,474,Canterbury Museum and Setting and Canterbury Museum and Rolleston Statue,124,NULL
233,Current,Significant,Not Listed,Unknown,NULL,15/409200,Christ's College Main Quadrangle and Setting,NULL,475,Christ's College Main Quadrangle and Setting and Christ's College,122,NULL
234,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3278,15/409200,Christ's College Former Hare Memorial Library and Classrooms and Setting,3278,476,Christ's College Former Hare Memorial Library and Classrooms and Setting and Christ's College,116,NULL
235,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3277,15/409200,Christ's College Chapel and Setting,3277,477,Christ's College Chapel and Setting and Christ's College,121,NULL
236,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/4913,15/409200,Christ's College Former Condell's House and Setting,4913,478,Christ's College Former Condell's House and Setting and Christ's College,119,NULL
244,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/282,15/409200,"Dwelling and Setting, Former Tiptree Farm",282,488,"Dwelling and Setting, Former Tiptree Farm and Tip Tree Cottage",3,Harewood
245,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation and Setting,NULL,489,MED Substation and Setting and Seddon Street Substation,288,Sydenham
246,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3698,15/409200,Dwelling and Setting,3698,491,Dwelling and Setting and Dwelling,97,Addington
247,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3700,15/409200,Dwelling and Setting,3700,492,Dwelling and Setting and Dwelling,98,Addington
248,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3699,15/409200,Dwelling and Setting,3699,493,Dwelling and Setting and Dwelling,96,Addington
249,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3104,15/409200,Former Cashmere Servants' Quarters and Setting,3104,494,Former Cashmere Servants' Quarters and Setting and Old Stone House,91,Hoon Hay Valley
250,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3701,15/409200,Dwelling and Setting,3701,495,Dwelling and Setting and Short Street Cottage,243,Sydenham
251,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3702,15/409200,Dwelling and Setting,3702,496,Dwelling and Setting and Short Street Cottage,245,Sydenham
252,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/4914,15/409200,Dwelling and Setting,4914,497,Dwelling and Setting and Dwelling,69,Addington
253,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,498,Dwelling and Setting and Dwelling,317,Spencerville
254,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Te Whatu Manawa Maoritanga O Rehua  and Setting,NULL,499,Te Whatu Manawa Maoritanga O Rehua  and Setting and Rehua Marae Meeting House,198,St Albans
260,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1882,15/409200,Dwelling and Setting,1882,508,Dwelling and Setting and Dwelling,285,Sydenham
261,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Mary's Church and Setting,NULL,511,St Mary's Church and Setting and St Mary's Church Heathcote,355,Heathcote
262,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3127,15/409200,"Commercial Building and Setting, Lawrie and Wilson Auctioneers",3127,514,"Commercial Building and Setting, Lawrie and Wilson Auctioneers and Dwelling",690,NULL
263,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3140,15/409200,Former Tuam Street Hall and Setting,3140,515,Former Tuam Street Hall and Setting and Dwelling,691,NULL
264,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former High Street Post Office and Setting,NULL,516,Former High Street Post Office and Setting and Fmr High Street Post Office,277,NULL
265,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3743,15/409200,"Former Waterworks Pumping Station and Setting, No. 1 Pumphouse",3743,520,"Former Waterworks Pumping Station and Setting, No. 1 Pumphouse and Waterworks Pumping Station",335,Phillipstown
272,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Bowker Fountain and Setting,NULL,527,Bowker Fountain and Setting and Victoria Square,246,NULL
273,Current,Significant,Not Listed,Unknown,NULL,15/409200,K2 Telephone Box and Setting,NULL,528,K2 Telephone Box and Setting and Victoria Square,248,NULL
