DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
440,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1714,15/409200,"Rue Lavaud Bridge and Setting, Northern ",1714,756,"Rue Lavaud Bridge and Setting, Northern  and Northern Rue Lavaud Bridge",584,Akaroa
441,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1743,15/409200,"Dwelling and Setting, Windermere",1743,757,"Dwelling and Setting, Windermere and 17 Rue Lavaud ",580,Akaroa
442,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1724,15/409200,Dwelling and Setting,1724,758,Dwelling and Setting and 26 Rue Benoit ,587,Akaroa
443,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7172,15/409200,"Lyttelton Railway Tunnel, Lyttelton and Heathcote Tunnel Portals and Setting",7172,760,"Lyttelton Railway Tunnel, Lyttelton and Heathcote Tunnel Portals and Setting and Setting",768,Heathcote/
444,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1718,15/409200,Former Courthouse and Setting,1718,761,Former Courthouse and Setting and Museum (Langlois-Etevenaux House),549,Akaroa
445,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/264,15/409200,"Former Dwelling and Setting, Langlois-Eteveneaux Cottage ",264,762,"Former Dwelling and Setting, Langlois-Eteveneaux Cottage  and Museum (Langlois-Etevenaux House)",548,Akaroa
446,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5338,15/409200,Dwelling and Setting,5338,763,Dwelling and Setting and 42 Rue Balguerie ,597,Akaroa
447,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7382,15/409200,"Former Masonic Lodge Hall, Lodge of Unanimity, and Setting",7382,765,"Former Masonic Lodge Hall, Lodge of Unanimity, and Setting and 6 St Davids Street",431,Lyttelton
458,Current,Significant,Not Listed,Unknown,NULL,15/409200,Grand Hotel and Setting,NULL,1005,Grand Hotel and Setting and Grand Hotel,585,Akaroa
459,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1007,Dwelling and Setting and 42 Rue Grehan ,603,Akaroa
460,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1008,Dwelling and Setting and Dwelling,555,Akaroa
461,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Commercial Building/Dwelling and Setting, Former Peninsula General Store ",NULL,1009,"Commercial Building/Dwelling and Setting, Former Peninsula General Store  and Picturesque Gallery",566,Akaroa
