tempParkAssetID,Feature,Use,ExternalBuildingMaterial,InternalBuildingMaterial,RoofMaterial,BuildingAreaM2,NumberOfCubicles,NumberOfAccessibleUnits,Comment
71367,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,21.36,4,1,3.2m*4.4m and 2.8m*2.6m
77440,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,9.3,,,
59486,Building - Toilet/Pavilion: Toilet,Unisex,Corrugated Iron,Concrete,Iron,5,1,1,2.5m*2m   - heavily graffitied
66190,Building - Toilet/Pavilion: Toilet,Unisex,Brick,Concrete,Iron,5,2,,
33372,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Wood,Gib Board,Iron,65.52,4,3,8.4*7.8m
171,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,35,3,3,
1403,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,18,3,3,
6447,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Lineal Weatherboard,Not Applicable,Iron,,2,0,"locked. 5.4m wide, 6.7m long."
36591,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,10,2,2,4m*2.5m
41780,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,10,2,2,2.5m*4m
48455,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,10,5,2,
72005,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,35,3,2,
2161,Building - Toilet/Pavilion: Toilet,Unisex,Standard Weatherboard,Not Applicable,Iron,3,1,1,pit dunny
2673,Building - Toilet/Pavilion: Toilet,Unisex,Standard Weatherboard,Not Applicable,Iron,3,1,0,
6529,Building - Toilet/Pavilion: Toilet,Unisex,Stainless Steel,Not Applicable,Iron,,1,1,1m by 1.8m. Corrugated iron. Ladies.
36322,Building - Toilet/Pavilion: Toilet,Unisex,Corrugated Iron,Not Applicable,Iron,4.84,1,1,no pic of toilet ... door locked from inside
11186,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Plaster Board,Iron,10,2,2,
928,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Wood,Wood,Iron,24,3,3,
25487,Building - Toilet/Pavilion: Toilet,Unisex,Wood,Wood,Iron,4.75,1,1,1.9*2.5m
5674,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Applicable,,2,2,"1.2m wide, 4m long."
8686,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Applicable,21,2,2,
10800,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Applicable,36.9,2,2,area = 4.5*8.2m
15067,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Applicable,Concrete,Not Applicable,15,1,0,
15072,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Applicable,Concrete,Not Applicable,15,1,0,
40605,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Applicable,18,2,,no roof...3m*6m
57677,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Applicable,Concrete,Not Applicable,24.32,3,0,
63148,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Applicable,Gib Board,Not Applicable,,5,1,
29117,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Not Applicable,56.64,4,,
61135,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Rough Cast,Not Applicable,Not Applicable,21,2,2,
55997,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Plaster Board,Not Applicable,17,2,2,
63147,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Applicable,Plaster Board,Not Applicable,,3,,
17264,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Known,55.6,3,3,
47218,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Not Known,74.88,4,2,9.6*11.4m incl. extended roof
7,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Not Known,Not Applicable,Not Known,12,2,2,"New toilet under construction, will have large acceess ramp. Ground will be landscaped after completion."
3440,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Not Applicable,Not Known,,,,Road Landscape Feature
