Incident ID, Reported on, Incident type, Address
134421,14/04/2016 at 03:11,Graffiti,"227, Worcester Street, Christchurch, 8011, Canterbury"
134423,14/04/2016 at 03:13,Graffiti,"261, Barbadoes Street, Christchurch, 8011, Canterbury"
134425,14/04/2016 at 03:15,Graffiti,"265–273, Hereford Street, Christchurch, 8011, Canterbury"
134429,14/04/2016 at 03:18,Graffiti,"236, Barbadoes Street, Christchurch, 8011, Canterbury"
134430,14/04/2016 at 03:19,Graffiti,"224, Barbadoes Street, Christchurch, 8011, Canterbury"
134432,14/04/2016 at 03:21,Graffiti,"195–225, Lichfield Street, Christchurch, 8011, Canterbury"
134433,14/04/2016 at 03:22,Graffiti,"206, Barbadoes Street, Christchurch, 8011, Canterbury"
134434,14/04/2016 at 03:23,Graffiti,"314–318, Tuam Street, Christchurch, 8011, Canterbury"
134437,14/04/2016 at 03:25,Graffiti,"308–310, Saint Asaph Street, Christchurch, 8011, Canterbury"
134438,14/04/2016 at 03:27,Graffiti,"176, Barbadoes Street, Christchurch, 8011, Canterbury"
134439,14/04/2016 at 03:29,Graffiti,"45–62, Ferry Road, Christchurch, 8011, Canterbury"
134441,14/04/2016 at 03:31,Graffiti,"45–62, Ferry Road, Christchurch, 8011, Canterbury"
134443,14/04/2016 at 03:32,Graffiti,"140–150, Barbadoes Street, Christchurch, 8011, Canterbury"
134445,14/04/2016 at 03:33,Graffiti,"21–33, Ferry Road, Christchurch, 8011, Canterbury"
134447,14/04/2016 at 03:35,Graffiti,"35, Ferry Road, Christchurch, 8011, Canterbury"
134464,14/04/2016 at 04:29,Rubbish/Recycling,"9, Kenmure Drive, Huntsbury, 8022, Canterbury"
134478,14/04/2016 at 04:50,Graffiti,"102 Tennyson St, Sydenham, Christchurch 8023, New Zealand"
134480,14/04/2016 at 04:56,Parks,"8-12, Wycola Avenue, Hei Hei, 8042, Canterbury"
134489,14/04/2016 at 05:34,Graffiti,"213, Marine Parade, New Brighton, 8061, Canterbury"
134492,14/04/2016 at 05:48,Roading/Streets,"183, Pine Avenue, South New Brighton, 8062, Canterbury"
134495,14/04/2016 at 06:11,Roading/Streets,"18 Thackers Quay, Woolston, Christchurch 8023, New Zealand"
