tempParkAssetID,Feature,TotalNumberOfPlayItems
30314,Playground Whole Site: Playground Whole site,4
30359,Playground Whole Site: Playground Whole site,3
30382,Playground Whole Site: Playground Whole site,3
30612,Playground Whole Site: Playground Whole site,4
30962,Playground Whole Site: Playground Whole site,5
31176,Playground Whole Site: Playground Whole site,4
31273,Playground Whole Site: Playground Whole site,2
31593,Playground Whole Site: Playground Whole site,5
31688,Playground Whole Site: Playground Whole site,2
31795,Playground Whole Site: Playground Whole site,2
31969,Playground Whole Site: Playground Whole site,9
32170,Playground Whole Site: Playground Whole site,4
32293,Playground Whole Site: Playground Whole site,1
32320,Playground Whole Site: Playground Whole site,1
32548,Playground Whole Site: Playground Whole site,2
32807,Playground Whole Site: Playground Whole site,5
33190,Playground Whole Site: Playground Whole site,6
33853,Playground Whole Site: Playground Whole site,8
34035,Playground Whole Site: Playground Whole site,3
34135,Playground Whole Site: Playground Whole site,2
34164,Playground Whole Site: Playground Whole site,3
34340,Playground Whole Site: Playground Whole site,3
34402,Playground Whole Site: Playground Whole site,4
34648,Playground Whole Site: Playground Whole site,3
34738,Playground Whole Site: Playground Whole site,3
35355,Playground Whole Site: Playground Whole site,8
35514,Playground Whole Site: Playground Whole site,4
36048,Playground Whole Site: Playground Whole site,4
36219,Playground Whole Site: Playground Whole site,2
36727,Playground Whole Site: Playground Whole site,6
36816,Playground Whole Site: Playground Whole site,1
37488,Playground Whole Site: Playground Whole site,5
37570,Playground Whole Site: Playground Whole site,2
38047,Playground Whole Site: Playground Whole site,4
38144,Playground Whole Site: Playground Whole site,6
38575,Playground Whole Site: Playground Whole site,3
38693,Playground Whole Site: Playground Whole site,3
38903,Playground Whole Site: Playground Whole site,6
39083,Playground Whole Site: Playground Whole site,7
39560,Playground Whole Site: Playground Whole site,4
39613,Playground Whole Site: Playground Whole site,5
39882,Playground Whole Site: Playground Whole site,5
40007,Playground Whole Site: Playground Whole site,4
40267,Playground Whole Site: Playground Whole site,3
40875,Playground Whole Site: Playground Whole site,7
40952,Playground Whole Site: Playground Whole site,5
41020,Playground Whole Site: Playground Whole site,5
41563,Playground Whole Site: Playground Whole site,9
41941,Playground Whole Site: Playground Whole site,5
42469,Playground Whole Site: Playground Whole site,3
42964,Playground Whole Site: Playground Whole site,8
43036,Playground Whole Site: Playground Whole site,6
43250,Playground Whole Site: Playground Whole site,2
43400,Playground Whole Site: Playground Whole site,2
43507,Playground Whole Site: Playground Whole site,2
43647,Playground Whole Site: Playground Whole site,5
43839,Playground Whole Site: Playground Whole site,2
44139,Playground Whole Site: Playground Whole site,5
44213,Playground Whole Site: Playground Whole site,2
44377,Playground Whole Site: Playground Whole site,5
44437,Playground Whole Site: Playground Whole site,3
44730,Playground Whole Site: Playground Whole site,6
45123,Playground Whole Site: Playground Whole site,4
45227,Playground Whole Site: Playground Whole site,11
45284,Playground Whole Site: Playground Whole site,2
45331,Playground Whole Site: Playground Whole site,4
45485,Playground Whole Site: Playground Whole site,2
45835,Playground Whole Site: Playground Whole site,2
45880,Playground Whole Site: Playground Whole site,2
45990,Playground Whole Site: Playground Whole site,4
46384,Playground Whole Site: Playground Whole site,11
46662,Playground Whole Site: Playground Whole site,4
46719,Playground Whole Site: Playground Whole site,2
46733,Playground Whole Site: Playground Whole site,5
46823,Playground Whole Site: Playground Whole site,5
46839,Playground Whole Site: Playground Whole site,3
47133,Playground Whole Site: Playground Whole site,4
47300,Playground Whole Site: Playground Whole site,9
47435,Playground Whole Site: Playground Whole site,4
47474,Playground Whole Site: Playground Whole site,8
47550,Playground Whole Site: Playground Whole site,8
47621,Playground Whole Site: Playground Whole site,3
47657,Playground Whole Site: Playground Whole site,3
47703,Playground Whole Site: Playground Whole site,4
47975,Playground Whole Site: Playground Whole site,4
48082,Playground Whole Site: Playground Whole site,5
48139,Playground Whole Site: Playground Whole site,4
48263,Playground Whole Site: Playground Whole site,2
48384,Playground Whole Site: Playground Whole site,7
48774,Playground Whole Site: Playground Whole site,10
48872,Playground Whole Site: Playground Whole site,2
49052,Playground Whole Site: Playground Whole site,2
49212,Playground Whole Site: Playground Whole site,7
49568,Playground Whole Site: Playground Whole site,3
49921,Playground Whole Site: Playground Whole site,2
50188,Playground Whole Site: Playground Whole site,2
50388,Playground Whole Site: Playground Whole site,5
50650,Playground Whole Site: Playground Whole site,2
51220,Playground Whole Site: Playground Whole site,9
51334,Playground Whole Site: Playground Whole site,2
51551,Playground Whole Site: Playground Whole site,4
51712,Playground Whole Site: Playground Whole site,13
51828,Playground Whole Site: Playground Whole site,2
52017,Playground Whole Site: Playground Whole site,1
52133,Playground Whole Site: Playground Whole site,5
52414,Playground Whole Site: Playground Whole site,7
52554,Playground Whole Site: Playground Whole site,2
52660,Playground Whole Site: Playground Whole site,3
53008,Playground Whole Site: Playground Whole site,6
53113,Playground Whole Site: Playground Whole site,3
53269,Playground Whole Site: Playground Whole site,3
53506,Playground Whole Site: Playground Whole site,NULL
53748,Playground Whole Site: Playground Whole site,7
53845,Playground Whole Site: Playground Whole site,3
54264,Playground Whole Site: Playground Whole site,2
54270,Playground Whole Site: Playground Whole site,1
54323,Playground Whole Site: Playground Whole site,3
54448,Playground Whole Site: Playground Whole site,2
54516,Playground Whole Site: Playground Whole site,2
54759,Playground Whole Site: Playground Whole site,1
54870,Playground Whole Site: Playground Whole site,5
55070,Playground Whole Site: Playground Whole site,4
55098,Playground Whole Site: Playground Whole site,8
55205,Playground Whole Site: Playground Whole site,1
55319,Playground Whole Site: Playground Whole site,3
55526,Playground Whole Site: Playground Whole site,4
55782,Playground Whole Site: Playground Whole site,4
55860,Playground Whole Site: Playground Whole site,4
56095,Playground Whole Site: Playground Whole site,6
57071,Playground Whole Site: Playground Whole site,10
57576,Playground Whole Site: Playground Whole site,9
57930,Playground Whole Site: Playground Whole site,2
58028,Playground Whole Site: Playground Whole site,4
58334,Playground Whole Site: Playground Whole site,3
58770,Playground Whole Site: Playground Whole site,2
59242,Playground Whole Site: Playground Whole site,4
59325,Playground Whole Site: Playground Whole site,2
59427,Playground Whole Site: Playground Whole site,6
59672,Playground Whole Site: Playground Whole site,5
59757,Playground Whole Site: Playground Whole site,4
60033,Playground Whole Site: Playground Whole site,2
60224,Playground Whole Site: Playground Whole site,7
60245,Playground Whole Site: Playground Whole site,2
60249,Playground Whole Site: Playground Whole site,2
60258,Playground Whole Site: Playground Whole site,2
60270,Playground Whole Site: Playground Whole site,2
60379,Playground Whole Site: Playground Whole site,4
60749,Playground Whole Site: Playground Whole site,4
60981,Playground Whole Site: Playground Whole site,2
61412,Playground Whole Site: Playground Whole site,4
61583,Playground Whole Site: Playground Whole site,3
61966,Playground Whole Site: Playground Whole site,3
62452,Playground Whole Site: Playground Whole site,4
63924,Playground Whole Site: Playground Whole site,4
64040,Playground Whole Site: Playground Whole site,1
65581,Playground Whole Site: Playground Whole site,2
66578,Playground Whole Site: Playground Whole site,4
66789,Playground Whole Site: Playground Whole site,2
67011,Playground Whole Site: Playground Whole site,5
67294,Playground Whole Site: Playground Whole site,4
67630,Playground Whole Site: Playground Whole site,5
68111,Playground Whole Site: Playground Whole site,2
69359,Playground Whole Site: Playground Whole site,4
69383,Playground Whole Site: Playground Whole site,3
70368,Playground Whole Site: Playground Whole site,3
71137,Playground Whole Site: Playground Whole site,1
71576,Playground Whole Site: Playground Whole site,4
75000,Playground Whole Site: Playground Whole site,NULL
75340,Playground Whole Site: Playground Whole site,NULL
