tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
5716,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5717,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5719,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5881,Furniture - Table,Natural,Wood with Wooden Frame,
5977,Furniture - Table,,,
6030,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
6084,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
6114,Furniture - Table,Painted,Wood with Wooden Frame,
6120,Furniture - Table,Painted,Wood with Wooden Frame,
6137,Furniture - Table,Painted,Wood with Wooden Frame,
6416,Furniture - Table,Painted,Wood with Wooden Frame,
6417,Furniture - Table,Painted,Wood with Wooden Frame,
6824,Furniture - Table,Not Applicable,Concrete,
6825,Furniture - Table,Not Applicable,Concrete,
7265,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
8024,Furniture - Table,Painted,Wood with Wooden Frame,
9009,Furniture - Table,Stained - Dark,Wood with Metal Frame,
9046,Furniture - Table,Natural,Wood with Wooden Frame,
9113,Furniture - Table,Natural,Wood with Wooden Frame,table graffitied...see pic 6421
10491,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10608,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10612,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10618,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10726,Furniture - Table,Natural,Wood with Wooden Frame,
11368,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11373,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11380,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11511,Furniture - Table,Stained - Dark,Wood with Wooden Frame,a little graffiti
11572,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11739,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11747,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
12682,Furniture - Table,Stained - Clear,Wood with Metal Frame,
12786,Furniture - Table,Stained - Clear,Wood with Metal Frame,
12790,Furniture - Table,Stained - Clear,Wood with Metal Frame,
12797,Furniture - Table,Stained - Clear,Wood with Metal Frame,
13308,Furniture - Table,Natural,Wood with Wooden Frame,
13309,Furniture - Table,Natural,Wood with Wooden Frame,top graffitied ...see pic 0602
15403,Furniture - Table,Painted,Wood with Wooden Frame,
16427,Furniture - Table,Natural,Wood with Wooden Frame,
16755,Furniture - Table,Natural,Wood with Wooden Frame,
16814,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
18491,Furniture - Table,Natural,Wood with Wooden Frame,
18795,Furniture - Table,Natural,Wood with Wooden Frame,
18797,Furniture - Table,Natural,Wood with Wooden Frame,
19076,Furniture - Table,Natural,Wood with Wooden Frame,graffitied
19105,Furniture - Table,Natural,Wood with Wooden Frame,top of table is graffitied
19799,Furniture - Table,Natural,Wood with Wooden Frame,
19868,Furniture - Table,Natural,Wood with Wooden Frame,
21020,Furniture - Table,Natural,Wood with Wooden Frame,
21271,Furniture - Table,Natural,Wood with Wooden Frame,
21273,Furniture - Table,Natural,Wood with Wooden Frame,
21275,Furniture - Table,Natural,Wood with Wooden Frame,
21277,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
21279,Furniture - Table,Natural,Wood with Wooden Frame,
21322,Furniture - Table,Natural,Wood with Wooden Frame,
25037,Furniture - Table,Natural,Wood,
25176,Furniture - Table,Natural,Wood with Wooden Frame,
25424,Furniture - Table,Stained - Dark,Wood with Metal Frame,graffitied ...see 2122
25464,Furniture - Table,Stained - Dark,Wood with Metal Frame,
25539,Furniture - Table,Natural,Wood with Metal Frame,
25565,Furniture - Table,Natural,Wood with Metal Frame,
25657,Furniture - Table,Natural,Wood with Wooden Frame,
25772,Furniture - Table,Natural,Wood with Wooden Frame,
26450,Furniture - Table,Natural,Wood with Wooden Frame,
26452,Furniture - Table,Natural,Wood with Wooden Frame,
27037,Furniture - Table,Painted,Wood with Wooden Frame,
27042,Furniture - Table,Painted,Wood with Wooden Frame,
27465,Furniture - Table,Stained - Dark,Wood with Metal Frame,
27472,Furniture - Table,Stained - Dark,Wood with Metal Frame,
28355,Furniture - Table,Stained - Dark,Wood with Metal Frame,
29343,Furniture - Table,Natural,Wood with Wooden Frame,
29444,Furniture - Table,Natural,Wood with Wooden Frame,
29811,Furniture - Table,Galvanised,Metal,
30004,Furniture - Table,Galvanised,Metal,
30312,Furniture - Table,Natural,Wood with Wooden Frame,
30900,Furniture - Table,Natural,Wood with Wooden Frame,
30913,Furniture - Table,Natural,Wood with Wooden Frame,
30988,Furniture - Table,Natural,Wood with Wooden Frame,
31356,Furniture - Table,Painted,Wood with Wooden Frame,
31358,Furniture - Table,Painted,Wood with Wooden Frame,
31418,Furniture - Table,Painted,Wood with Wooden Frame,
31428,Furniture - Table,Painted,Wood with Wooden Frame,
31620,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
31890,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
32352,Furniture - Table,Painted,Wood with Wooden Frame,
32589,Furniture - Table,Painted,Wood,
32643,Furniture - Table,Painted,Wood with Metal Frame,
33681,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
33966,Furniture - Table,Painted,Wood with Wooden Frame,
33968,Furniture - Table,Painted,Wood with Wooden Frame,
33969,Furniture - Table,Painted,Wood with Wooden Frame,
34435,Furniture - Table,Natural,Wood with Wooden Frame,
