tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
95468,Furniture - Table,,,
95473,Furniture - Table,,,
95492,Furniture - Table,,,
95494,Furniture - Table,,,
95497,Furniture - Table,,,
95498,Furniture - Table,,,
95501,Furniture - Table,,,
95502,Furniture - Table,,,
95511,Furniture - Table,,,
95513,Furniture - Table,,,
95514,Furniture - Table,,,
95521,Furniture - Table,,,
95524,Furniture - Table,,,
95525,Furniture - Table,,,
95533,Furniture - Table,,,
95535,Furniture - Table,,,
95536,Furniture - Table,,,
95541,Furniture - Table,,,
95542,Furniture - Table,,,
95545,Furniture - Table,,,
95546,Furniture - Table,,,
95549,Furniture - Table,,,
95550,Furniture - Table,,,
95552,Furniture - Table,,,
95554,Furniture - Table,,,
95557,Furniture - Table,,,
95974,Furniture - Table,,,
95975,Furniture - Table,,,
95976,Furniture - Table,,,
95978,Furniture - Table,,,
95999,Furniture - Table,,,
96008,Furniture - Table,,,
96236,Furniture - Table,,,
96266,Furniture - Table,,,
96275,Furniture - Table,,,
96467,Furniture - Table,,,
96468,Furniture - Table,,,
96469,Furniture - Table,,,
96470,Furniture - Table,,,
96471,Furniture - Table,,,
96472,Furniture - Table,,,
97504,Furniture - Table,,,Road Landscape Feature
97505,Furniture - Table,,,Road Landscape Feature
97551,Furniture - Table,,,
97564,Furniture - Table,,,
97565,Furniture - Table,,,
97586,Furniture - Table,,,
109391,Furniture - Table,,,
110424,Furniture - Table,,,
111504,Furniture - Table,,,
111508,Furniture - Table,,,
111897,Furniture - Table,,,
112003,Furniture - Table,,,
112279,Furniture - Table,,,
112467,Furniture - Table,,,
112517,Furniture - Table,,,
113228,Furniture - Table,,,
114090,Furniture - Table,,,
114099,Furniture - Table,,,
114100,Furniture - Table,,,
114881,Furniture - Table,,,
115154,Furniture - Table,,,
116687,Furniture - Table,,,
116795,Furniture - Table,,,
119473,Furniture - Table,,,
119474,Furniture - Table,,,
119475,Furniture - Table,,,
120339,Furniture - Table,,,
120695,Furniture - Table,,,
120696,Furniture - Table,,,
120792,Furniture - Table,,,
120831,Furniture - Table,,,
121377,Furniture - Table,,,
121385,Furniture - Table,,,
121405,Furniture - Table,,,
121713,Furniture - Table,,,
121715,Furniture - Table,,,
121716,Furniture - Table,,,
